gene
CXCL13
HMOX1
ETV7
ADGRG1
PDCD1
ENTPD1
CCDC50
TOX
CD4
TIGIT
TNFRSF18
NMB
MYL6B
AHI1
MAF
IFNG
LAG3
CXCR6
IGFLR1
DUSP4
ACP5
LINC01943
LIMS1
BATF
PCED1B
ITGAL
YPEL2
MAL
PPT1
ELMO1
MIS18BP1
TMEM173
ADI1
SLA
GALM
LBH
SECISBP2L
CTSB
C17orf49
CORO1B
