"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"96",0,-2.16011175553167,0.173,0.367,0,"0","ARHGAP26"
"97",0,0.863501938648052,0.335,0.147,0,"0","SESN3"
"98",0,0.933795996360084,0.308,0.122,0,"0","RAB3GAP1"
"99",0,0.709103701178598,0.323,0.138,0,"0","CSGALNACT1"
"100",0,-1.57283753810382,0.32,0.503,0,"0","CTSC"
"101",0,1.05656213999389,0.316,0.135,0,"0","DNPH1"
"102",0,-1.51844475194108,0.467,0.634,0,"0","GZMM"
"103",0,0.435764382023061,0.954,0.792,0,"0","NOP53"
"104",0,-1.4245090264613,0.368,0.528,0,"0","ITGAL"
"105",0,0.451729889478539,0.966,0.809,0,"0","HINT1"
"106",0,0.442485773483581,0.969,0.818,0,"0","COX7C"
"107",0,0.575608342992728,0.979,0.828,0,"0","NPM1"
"108",0,0.583029137927325,0.981,0.831,0,"0","FXYD5"
"109",0,0.728218078695015,0.981,0.832,0,"0","RPL22"
"110",0,0.569905441310615,0.979,0.833,0,"0","SARAF"
"111",0,0.429833893996049,0.975,0.848,0,"0","TOMM7"
"112",0,-1.36567994703047,0.483,0.605,0,"0","GNG2"
"113",0,0.40747652575135,0.988,0.869,0,"0","BTF3"
"114",0,-1.43391226879959,0.684,0.8,0,"0","SRGN"
"115",0,0.53283705431638,0.982,0.872,0,"0","RPL26"
"116",0,0.674935647498263,0.991,0.882,0,"0","EEF2"
"117",0,-1.315759735617,0.533,0.64,0,"0","RABGAP1L"
"118",0,-1.26731044631233,0.56,0.666,0,"0","ABHD17A"
"119",0,0.59879258337766,0.989,0.884,0,"0","PABPC1"
"120",0,-1.21859670441972,0.568,0.671,0,"0","LITAF"
"121",0,-1.24729076974925,0.579,0.681,0,"0","UTRN"
"122",0,0.515602617501133,0.99,0.894,0,"0","RPL38"
"123",0,0.698500910110464,0.996,0.902,0,"0","EEF1B2"
"124",0,0.642998384106172,0.996,0.912,0,"0","RPL4"
"125",0,-1.24379624311127,0.664,0.743,0,"0","PRKCH"
"126",0,0.739600574217545,0.998,0.927,0,"0","RPS5"
"127",0,0.479520890758057,0.996,0.927,0,"0","RPS29"
"128",0,0.437801234794031,0.998,0.93,0,"0","NACA"
"129",0,0.386533574941026,0.993,0.925,0,"0","RPL27"
"130",0,0.698535429175623,0.999,0.939,0,"0","RPLP0"
"131",0,0.321832487158073,0.997,0.937,0,"0","UBA52"
"132",0,0.442613328828088,0.998,0.939,0,"0","RPL24"
"133",0,0.557542357732125,0.999,0.94,0,"0","RPL10A"
"134",0,0.612411497087387,0.999,0.941,0,"0","RPL9"
"135",0,0.516335385347796,0.999,0.941,0,"0","RACK1"
"136",0,0.646793077231964,0.998,0.94,0,"0","RPL36"
"137",0,-0.964103004491748,0.707,0.764,0,"0","FYN"
"138",0,-0.578053509838697,0.982,0.925,0,"0","SH3BGRL3"
"139",0,0.372825804769803,0.999,0.943,0,"0","RPL15"
"140",0,0.605557025603937,0.999,0.944,0,"0","RPL5"
"141",0,0.353290691197733,0.998,0.943,0,"0","RPL35"
"142",0,0.624084746367432,1,0.946,0,"0","RPL39"
"143",0,0.60176835598248,0.999,0.945,0,"0","RPS21"
"144",0,0.56180346974126,0.998,0.944,0,"0","RPS9"
"145",0,0.525570783557596,0.999,0.946,0,"0","RPS16"
"146",0,0.544774057577586,1,0.949,0,"0","RPSA"
"147",0,0.572291476337933,1,0.949,0,"0","RPL8"
"148",0,0.688455148476302,0.999,0.948,0,"0","RPS13"
"149",0,-0.884875918357796,0.723,0.773,0,"0","CD99"
"150",0,0.321502589250277,0.998,0.949,0,"0","RPL37A"
"151",0,0.518152477460447,0.999,0.951,0,"0","RPL35A"
"152",0,0.63793582716848,1,0.952,0,"0","RPS28"
"153",0,0.577732028429986,1,0.953,0,"0","RPS4X"
"154",0,0.340005764300609,1,0.954,0,"0","FAU"
"155",0,0.615062395117023,0.999,0.953,0,"0","RPS25"
"156",0,0.3042564854669,0.999,0.953,0,"0","RPL23A"
"157",0,0.584643623861067,1,0.954,0,"0","RPL18"
"158",0,0.361914419705898,1,0.955,0,"0","RPS7"
"159",0,0.539977388451839,0.999,0.955,0,"0","RPL29"
"160",0,0.495198524155084,1,0.956,0,"0","RPS15A"
"161",0,0.539984000011001,0.999,0.956,0,"0","RPL12"
"162",0,0.371594053998362,1,0.957,0,"0","RPL7A"
"163",0,0.426550673335364,0.999,0.956,0,"0","RPL21"
"164",0,0.376719096148801,0.999,0.957,0,"0","RPL6"
