cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14,cluster_15,cluster_16,cluster_17,cluster_18,cluster_19,cluster_20,cluster_21,cluster_22,cluster_23,cluster_24,cluster_25,cluster_26,cluster_27,cluster_28,cluster_29,cluster_30,cluster_31,cluster_32
CD27,LYAR,CD14,CCL3,BNIP3L,NKG7,SPTB,CD82,CD79A,SLC11A1,CXCL16,AKT3,CCDC26,XPO7,APOC1,MMP14,H1-4,MME,KIT,HLA-DPA1,KHDRBS3,MDK,DLC1,SPAG4,MKI67,PTCRA,LINC02363,STAR,DEPP1,STRADB,FABP3,IGHD,ABCA8
PRKCQ-AS1,SH2D1A,S100A9,PRF1,GMPR,CST7,SLC6A9,TAGLN2,PTPRK,PLAUR,APOBEC3A,CARD11,ATP8B4,LINC00570,SMIM10,RXFP1,UROD,CD24,KCNK17,PLD4,EBF1,CALCRL,CNRIP1,PARM1,MCM10,PHEX,LINC01091,TM4SF1,LINC02202,IFIT1B,SLC40A1,OSBPL10,TRABD2B
LDLRAP1,IL32,MCEMP1,KLRD1,SELENBP1,KLRD1,RHCE,COMT,CXCR5,PRAM1,SPRED1,PPP1R16B,PRSS57,SPTA1,LINC01133,IGF2BP3,BLVRB,LINC01374,TCTEX1D1,HLA-DRB1,MME,HPGD,PTGS1,TXNDC5,MELK,SLC35F3,PXDN,LINC00470,SCHIP1,BCL2L1,DAB2,NIBAN3,AC097518.2
FAM102A,NKG7,DOCK4,PTGDR,MKRN1,LINC01871,GYPE,NFE2,LIX1-AS1,MEGF9,GPBAR1,INPP4B,SERPINB8,RHAG,AL031123.5,CD163,AL138963.4,CCDC191,CASC15,HLA-DRB5,IGLL5,SLC2A5,CSF1,MZB1,ZWINT,EPHB1,DLGAP2,NPTX2,AC008696.2,FAM210B,CXCL12,FCER2,CXCL12
SUSD3,CD3D,IER3,TTC38,PDZK1IP1,KLRG1,CA3,NUDT1,RALGPS2,PLBD1,SERPINA1,THEMIS,NEGR1,FAXDC2,CXADR,FLVCR2,ANK1,RUBCNL,SPNS2,IL13RA1,LINC02202,ESAM,RGS18,TNFRSF13B,CDCA7,SMPD3,NEGR1,FLT4,MME,NFIX,ACP5,AFF3,AMOTL2
SH3YL1,THEMIS,FPR1,PRSS23,EIF1AY,CX3CR1,HEMGN,CALR,BLK,SULF2,SECTM1,HIVEP3,LYZ,SLC2A1,APOL4,AL035446.2,TUBB,IGHV5-78,CDK6-AS1,LILRB4,H3C8,CAVIN1,GATA2-AS1,JSRP1,CDT1,TPM2,LINC01341,DHRS9,AOX3P-AOX2P,RNF10,FUCA1,KLHL14,EBF3
NOSIP,C12orf75,S100A8,HOPX,YOD1,PRF1,HBM,PPP1R14B,IGHD,CSF3R,TBC1D8,CAMK4,LRMDA,PDZK1IP1,AC100801.1,MARCO,MPC2,LAMP5,DIPK1B,HLA-DPB1,CRNDE,MAPK12,CSF2RB,AC012236.1,CDC45,SCAMP5,THSD7A,STXBP5L,SOCS2-AS1,BPGM,CD163,PCDH9,EFEMP1
CAMK4,FGFBP2,HBEGF,KLRB1,SLC25A39,TTC38,SEC14L4,APEX1,AC120193.1,STXBP2,LST1,CDC14A,AC020656.1,HBD,GAD1,ARHGAP6,AHSP,AOX3P-AOX2P,PRSS57,CD1D,AURKB,CALN1,MED12L,FCRL5,MCM2,DNASE1L3,PROM1,AC112482.3,IGLL1,EMC3,VSIG4,ARHGAP24,PTCHD4
SIRPG,CD2,CDA,NCR3,AC130456.3,C1orf21,CTSE,MYADM,KHDRBS2,ARHGAP24,CAMK1,BTBD9,DGKG,SLC25A37,PGAP4,AL163541.1,TUBA1B,WASF1,KRT18,HLA-DOA,IGHV5-78,GUCY1A1,DIPK1B,IGLL5,CDCA5,RASD1,RASD1,RHEX,MPPED2,GLRX5,LIPA,DTX1,TNC
INPP4B,S1PR5,PID1,CTSW,FECH,CD8A,KEL,HSPB1,CD40,DMXL2,FCGR3A,ATXN1,ASRGL1,ANKRD9,PLPP4,PDK4,TFRC,TCL1A,MSRB3,CPED1,GALNT14,NPR3,CTDSPL,CHPF,PCNA,LINC00996,ACY3,ITGA9,CD9,DMTN,CD68,GNG7,COL11A1
DGKA,TBX21,NLRP12,FGFBP2,STRADB,CTSW,CA1,YWHAH,PLEKHG1,SLC8A1,LILRB2,ZEB1,MS4A4E,TRIM10,A4GALT,ME1,HNRNPAB,ARPP21,CALN1,CPVL,STMN1,MACC1,TTC7B,POU2AF1,SPC25,AC007381.1,KCNMB4,HOXB5,VPREB3,PINK1,CTSB,RUBCNL,VGLL3
PIK3IP1,TRAC,CYP1B1,S1PR5,NCOA4,CD3G,KIF18B,TUBB,AL139020.1,IRAK3,NEURL1,BCL2,OSBPL1A,AC130456.3,CNRIP1,TCN2,HMBS,NIBAN3,SHANK3,MYO1E,CEP55,HOMER3,DEPTOR,CPNE5,CHEK1,LINC02812,AC068051.1,MROCKI,PXDN,ADIPOR1,FTL,CD83,LUM
