cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13
TIMP1,PPP2R2B,INPP4B,RPS28,IDH2,NME2,CTSW,NR4A2,HSH2D,CNN2,VTI1A,CEBPD,SELL,JARID2
FOS,PAXX,NOSIP,LEPROTL1,TUBB4B,ANXA2,NCR3,ZBTB38,ADGRG1,PRDM1,SLC9A9,GFOD1,IFITM3,CMIP
TNFSF8,RAB27A,DGKA,RPL36,CD74,GSTK1,LYAR,CD69,PTGDR,PRDX1,STIM1,FGFBP2,UST,C1orf21
TNFRSF25,RUNX3,SNX9,RPL30,MRPL10,NOSIP,ABI3,CST7,XCL2,CHCHD10,RERE,KLRC1,CMC1,PTGDR
FAM102A,TSEN54,OXNAD1,EEF1B2,C1orf21,TRAT1,GTF3C1,IL32,OSBPL5,PEBP1,DYRK1A,PTPN12,HSH2D,EIF4G3
TMEM123,ABI3,TRAT1,RPL8,SH3BGRL3,ICOS,SLAMF7,SAT1,EFHD2,TC2N,RAPGEF1,GSAP,CEBPD,LPP
TESPA1,CD99,FAM117B,SARAF,HERPUD1,BIRC3,TPST2,C12orf75,KLRD1,COTL1,VPS13B,LYN,LINC00299,CEP78
IMPDH2,STOM,GAS5,CORO1B,SSBP4,AC010197.2,CEP78,SIT1,ITGAM,EML4,LRBA,PPM1L,KCNQ5,AKT3
PIM2,THEMIS,PIK3IP1,AL138963.4,APOBEC3G,ITGB1,APOBEC3C,MAP4K1,KLRB1,LY9,DOCK2,HSH2D,ITGAM,ARL15
GAS5,PTP4A2,AQP3,RPS8,UBE2S,RCAN3,CD3G,FCRL6,GSAP,KLRG1,MED13L,DTHD1,CTBP2,ARAP2
SNHG29,CD3D,TESPA1,CAMK4,RAB5IF,MAL,CD8A,SLAMF7,CD300A,ANXA1,NSMCE2,ITGAX,KLRD1,CHD9
VIM,DNAJC1,SATB1,RPL18,CD99,SRM,HLA-DRB5,ZFP36,NKG7,CD8B,CLASP1,IL18RAP,CTSW,PAM
