ID	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	celltype
PID_WNT_NONCANONICAL_PATHWAY	25	0.727592126048948	1.54588441061455	0.0570902394106814	0.525436814303129	0.525436814303129	1199	tags=32%, list=8%, signal=30%	CD8 Terminally Exhausted
PID_NECTIN_PATHWAY	28	0.716671699647062	1.54291857998085	0.0658362989323843	0.525436814303129	0.525436814303129	784	tags=29%, list=5%, signal=27%	CD8 Terminally Exhausted
PID_BETA_CATENIN_DEG_PATHWAY	15	0.769933440584582	1.54088512231039	0.0544464609800363	0.525436814303129	0.525436814303129	2597	tags=67%, list=17%, signal=55%	CD8 Terminally Exhausted
PID_ERBB4_PATHWAY	30	0.709160204644121	1.52799708825802	0.0723327305605787	0.525436814303129	0.525436814303129	1063	tags=23%, list=7%, signal=22%	CD8 Terminally Exhausted
PID_P38_ALPHA_BETA_PATHWAY	30	0.706731065422137	1.52276312612385	0.0723327305605787	0.525436814303129	0.525436814303129	1439	tags=23%, list=9%, signal=21%	CD8 Terminally Exhausted
PID_FAS_PATHWAY	34	0.693325703181563	1.52120942418573	0.0753676470588235	0.525436814303129	0.525436814303129	1869	tags=41%, list=12%, signal=36%	CD8 Terminally Exhausted
PID_ERBB1_RECEPTOR_PROXIMAL_PATHWAY	32	0.697464004681812	1.51235598602553	0.0712979890310786	0.525436814303129	0.525436814303129	949	tags=28%, list=6%, signal=26%	CD8 Terminally Exhausted
PID_ANTHRAX_PATHWAY	14	0.770640301767112	1.51064756924601	0.0596745027124774	0.525436814303129	0.525436814303129	1571	tags=43%, list=10%, signal=39%	CD8 Terminally Exhausted
PID_VEGFR1_2_PATHWAY	63	0.660089956434126	1.51055894129535	0.0990990990990991	0.525436814303129	0.525436814303129	1557	tags=37%, list=10%, signal=33%	CD8 Terminally Exhausted
PID_S1P_S1P4_PATHWAY	14	0.768232120494864	1.50592693216425	0.0596745027124774	0.525436814303129	0.525436814303129	953	tags=43%, list=6%, signal=40%	CD8 Terminally Exhausted
PID_TRAIL_PATHWAY	26	0.69780948927025	1.49610881744961	0.0701438848920863	0.525436814303129	0.525436814303129	1717	tags=38%, list=11%, signal=34%	CD8 Terminally Exhausted
PID_CXCR3_PATHWAY	38	0.675078120085504	1.49015709564001	0.0787992495309568	0.525436814303129	0.525436814303129	574	tags=26%, list=4%, signal=25%	CD8 Terminally Exhausted
PID_ERB_GENOMIC_PATHWAY	12	0.778951586257729	1.48696496854301	0.0607734806629834	0.525436814303129	0.525436814303129	981	tags=50%, list=6%, signal=47%	CD8 Terminally Exhausted
PID_UPA_UPAR_PATHWAY	28	0.683941694358661	1.4724543307197	0.0765124555160142	0.525436814303129	0.525436814303129	1581	tags=18%, list=10%, signal=16%	CD8 Terminally Exhausted
PID_INTEGRIN_A4B1_PATHWAY	27	0.686848439230358	1.47208269668202	0.0773381294964029	0.525436814303129	0.525436814303129	1553	tags=41%, list=10%, signal=37%	CD8 Terminally Exhausted
PID_SYNDECAN_1_PATHWAY	28	-0.67838756397943	-1.46668598526416	0.106818181818182	0.525436814303129	0.525436814303129	235	tags=11%, list=2%, signal=11%	CD8 Terminally Exhausted
PID_EPHB_FWD_PATHWAY	34	0.661310590027476	1.45096582637465	0.0863970588235294	0.525436814303129	0.525436814303129	2586	tags=41%, list=17%, signal=34%	CD8 Terminally Exhausted
PID_NETRIN_PATHWAY	27	0.674912010610636	1.44650003677096	0.0845323741007194	0.525436814303129	0.525436814303129	1557	tags=33%, list=10%, signal=30%	CD8 Terminally Exhausted
PID_VEGFR1_PATHWAY	23	0.68360085134561	1.44342095964829	0.0742753623188406	0.525436814303129	0.525436814303129	1774	tags=48%, list=12%, signal=42%	CD8 Terminally Exhausted
PID_ERBB1_INTERNALIZATION_PATHWAY	38	0.649852706623914	1.43447490458413	0.0863039399624766	0.525436814303129	0.525436814303129	1122	tags=26%, list=7%, signal=24%	CD8 Terminally Exhausted
PID_S1P_S1P2_PATHWAY	21	0.679564625138848	1.43178648376772	0.0815602836879433	0.525436814303129	0.525436814303129	1361	tags=38%, list=9%, signal=35%	CD8 Terminally Exhausted
PID_TCR_PATHWAY	63	0.620486976266025	1.41993093641245	0.111711711711712	0.525436814303129	0.525436814303129	1587	tags=40%, list=10%, signal=36%	CD8 Terminally Exhausted
PID_TOLL_ENDOGENOUS_PATHWAY	19	0.68470648216659	1.41101896424179	0.0837789661319073	0.525436814303129	0.525436814303129	2289	tags=37%, list=15%, signal=31%	CD8 Terminally Exhausted
PID_TCR_RAS_PATHWAY	14	0.717388693558115	1.40626110994081	0.0886075949367089	0.525436814303129	0.525436814303129	989	tags=43%, list=6%, signal=40%	CD8 Terminally Exhausted
PID_SMAD2_3PATHWAY	16	0.691749181247181	1.40457114805351	0.0960144927536232	0.525436814303129	0.525436814303129	1685	tags=31%, list=11%, signal=28%	CD8 Terminally Exhausted
PID_RHOA_PATHWAY	41	0.629045866461007	1.39580116092814	0.0985130111524164	0.525436814303129	0.525436814303129	3044	tags=51%, list=20%, signal=41%	CD8 Terminally Exhausted
PID_GMCSF_PATHWAY	33	0.635491706504767	1.39106721402209	0.0943738656987296	0.525436814303129	0.525436814303129	1354	tags=39%, list=9%, signal=36%	CD8 Terminally Exhausted
