ID	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	celltype
DESCARTES_FETAL_HEART_MEGAKARYOCYTES	14	-0.401959836007424	-0.838088267425252	0.560578661844485	0.641973825359365	0.405158143158798	1581	tags=43%, list=22%, signal=34%	NK T cells
ZHONG_PFC_C8_UNKNOWN_NEUROD2_POS_INTERNEURON	20	-0.392032623394239	-0.816644306660771	0.561016949152542	0.641973825359365	0.405158143158798	729	tags=20%, list=10%, signal=18%	NK T cells
DESCARTES_FETAL_INTESTINE_MYELOID_CELLS	39	-0.43271965859319	-0.935111135611127	0.568910256410256	0.649362211862212	0.40982105126842	343	tags=15%, list=5%, signal=15%	NK T cells
DESCARTES_MAIN_FETAL_THYMIC_EPITHELIAL_CELLS	52	-0.417323299324889	-0.925449114827712	0.579666160849772	0.658726820593422	0.415731179275308	10	tags=6%, list=0%, signal=6%	NK T cells
MANNO_MIDBRAIN_NEUROTYPES_HNBML1	59	-0.40143526819885	-0.912622539175294	0.580029368575624	0.658726820593422	0.415731179275308	603	tags=17%, list=8%, signal=16%	NK T cells
MANNO_MIDBRAIN_NEUROTYPES_HNPROG	42	-0.414916229698564	-0.897501291851723	0.583067092651757	0.658865814696486	0.415818900285858	610	tags=21%, list=8%, signal=20%	NK T cells
MURARO_PANCREAS_DELTA_CELL	63	0.289330005359273	0.872132346598662	0.582278481012658	0.658865814696486	0.415818900285858	901	tags=19%, list=12%, signal=17%	NK T cells
ZHONG_PFC_C4_UNKNOWN_INP	52	-0.414162638035031	-0.918440085622533	0.585735963581184	0.660231061193753	0.416680525345848	501	tags=12%, list=7%, signal=11%	NK T cells
GAUTAM_EYE_CHOROID_SCLERA_MONOCYTES	85	0.286389992731143	0.892196967263078	0.599303135888502	0.67384332691941	0.425271405671076	705	tags=19%, list=10%, signal=17%	NK T cells
HAY_BONE_MARROW_STROMAL	38	-0.379281607540616	-0.823660454917145	0.607936507936508	0.68016658808738	0.429262099142245	1376	tags=32%, list=19%, signal=26%	NK T cells
ZHONG_PFC_C8_ORG_PROLIFERATING	18	-0.371190909162077	-0.77793395311923	0.607876712328767	0.68016658808738	0.429262099142245	1306	tags=44%, list=18%, signal=37%	NK T cells
CUI_DEVELOPING_HEART_RIGHT_ATRIAL_CARDIOMYOCYTE	14	-0.370593512303837	-0.772689325706723	0.616636528028933	0.688196816466859	0.434330082120444	1688	tags=36%, list=23%, signal=27%	NK T cells
FAN_EMBRYONIC_CTX_MICROGLIA_1	48	-0.395978616112208	-0.867206108313699	0.618604651162791	0.68869286287089	0.434643143544507	1313	tags=31%, list=18%, signal=26%	NK T cells
DESCARTES_MAIN_FETAL_ENDOCARDIAL_CELLS	16	-0.369807683411963	-0.757573892809058	0.62432915921288	0.693358181730275	0.437587487771086	1256	tags=38%, list=17%, signal=31%	NK T cells
GAUTAM_EYE_IRIS_CILIARY_BODY_COL9A1_HIGH_CILIARY_BODY_CELLS	50	0.287500795610201	0.845670483922295	0.626086956521739	0.693606138107417	0.437743976309059	945	tags=22%, list=13%, signal=19%	NK T cells
GAUTAM_EYE_IRIS_CILIARY_BODY_CILIARY_BODY_CELLS	35	-0.36118209308713	-0.775473085188404	0.635483870967742	0.702295133685622	0.443227715949706	1653	tags=37%, list=23%, signal=29%	NK T cells
GAO_ESOPHAGUS_25W_C3_FGFR1LOW_EPITHELIAL_CELLS	32	-0.340453358259732	-0.739952760758269	0.645264847512038	0.711365148964491	0.448951922145732	92	tags=16%, list=1%, signal=15%	NK T cells
TRAVAGLINI_LUNG_GOBLET_CELL	58	-0.377910424090671	-0.858077499623994	0.655325443786982	0.718949273280864	0.453738362969525	924	tags=40%, list=13%, signal=35%	NK T cells
HAY_BONE_MARROW_CD34_POS_PRE_PC	46	-0.376237117389557	-0.82116670872005	0.653786707882535	0.718949273280864	0.453738362969525	1722	tags=43%, list=24%, signal=33%	NK T cells
DESCARTES_MAIN_FETAL_ADRENOCORTICAL_CELLS	21	0.311795190096624	0.803741204570909	0.659259259259259	0.721513765581562	0.455356847863538	493	tags=14%, list=7%, signal=13%	NK T cells
BUSSLINGER_GASTRIC_G_CELLS	25	-0.336173595482396	-0.718155462047852	0.664462809917355	0.725452149958079	0.457842414156123	761	tags=28%, list=11%, signal=25%	NK T cells
AIZARANI_LIVER_C31_KUPFFER_CELLS_5	59	-0.369966339980475	-0.841081109084621	0.672540381791483	0.731623319374036	0.461737120517847	13	tags=5%, list=0%, signal=5%	NK T cells
