B cells	CD4 Memory	CD4 Naïve	CD56 Bright NK cells	CD56 Dim NK cells	CD8 Central Memory	CD8 Effector Memory	CD8 Naïve	CD8 Terminally Exhausted	cDC	Doublets	Early Erythroids	HSPCs	Late Erythroids	Mid Erythroids	Monocytes	NK T cells	Non Classical Monocytes	pDC	Plasma Cells	Pre B cells	Pro B cells	Pro Monocytes	Treg	Undetermined	γδ T lymphocytes
LINC00926	RPS28	RPS27	IFITM1	ADGRG1	KLRD1	ADGRG1	PARP8	PLAAT4	ENHO	SELENBP1	RNF130	ITM2C	BPGM	SPTB	CTSD	CYTH1	WARS1	RHEX	SEL1L3	CD79A	STMN1	C20orf27	RPS29	PRDX1	TBX21
HLA-DPA1	PCED1B-AS1	RCAN3	SELL	CX3CR1	CD2	S1PR5	DNAJB1	RUNX3	HDAC9	HBD	EBPL	ANGPT1	CA1	NME4	LST1	DOCK10	HMOX1	SCT	CD79A	H3C2	CMTM7	S100A9	TLE5	MBOAT7	IL32
FCRLA	RPS21	CD27	GZMA	IGFBP7	ARL4C	TBX21	TC2N	CD2	SPI1	FAM210B	SPINK2	SMYD3	BSG	HBA2	SAT1	CELF2	S100A11	SLC15A4	SDC1	CD79B	CD74	P4HB	IFITM1	FSCN1	GZMM
PAX5	TPT1	LEPROTL1	PTGDR	CCL5	FCRL6	HCST	B2M	DNAJB1	GSTP1	DCAF12	CDK6	EGFL7	MKRN1	CENPF	S100A6	TNIK	TYMP	DERL3	CRELD2	IGHM	RCSD1	RRP12	TMSB10	DDAH2	FCRL6
HLA-DRB1	RPS15A	RPL35A	ID2	TYROBP	CD3G	ABHD17A	CD96	JUN	FCER1G	HBB	H2AC6	GSN	RBM38	TFRC	GRN	MBNL1	HCK	NPC2	TRIB1	SSBP2	SOCS2	CITED4	INPP4B	COMT	CD3D
PCDH9	RPL10	RPL39	PRF1	TTC38	MATK	RUNX3	CD69	HLA-A	S100A10	SLC4A1	STXBP5	AL035446.2	LGALS3	SLC25A37	NCF1	PARP8	CSF1R	PLAC8	IRF4	UBE2C	BLNK	CFD	LCK	PRSS57	ABHD17A
FCER2	RPL35A	C12orf57	IFITM3	ABHD17A	B2M	C12orf75	LCK	CD81	CAPG	SLC25A39	GAS5	PROM1	FAM210B	MKI67	ACSL1	ZBTB20	PILRA	PTPRS	ERLEC1	RRM2	AUTS2	GRN	SPOCK2	TUBB	CD8B
NCF1	RPL11	RPL10	NFKBIA	IFITM2	SYNE1	EFHD2	RPS29	LCK	VIM	SNCA	GAPDH	ARMH1	EPB42	HBB	TNFAIP2	CDC42SE2	C5AR1	ZFAT	PLPP5	TOP2A	ERG	GSTP1	CD3D	GSN	HCST
IGHD	RPL37	GAS5	SH2D1B	SH2D1B	THEMIS	TGFBR3	RPS26	SH2D1A	IRF8	BNIP3L	EGR1	ERG	GYPB	MGST3	MS4A6A	CARD11	MTSS1	CST3	TXNDC11	SMC4	PPP1R14B	EREG	RCAN3	MARCKSL1	CD3G
CD83	RPS14	RPS28	CD63	MATK	HLA-A	PLAAT4	SYNE2	IRF1	HLA-DQA2	FECH	RUNX1	AC016735.1	STRADB	TMEM14C	CSF3R	RUNX1	PECAM1	NIBAN3	MANF	PTMA	MEF2C	SYK	RPL26	CDK6	HOPX
SYK	INPP4B	PCED1B-AS1	RUNX3	PRSS23	STK17A	MT2A	ARL4C	CEMIP2	CFP	STRADB	LRMDA	GSTP1	HMBS	TUBB4B	TSPO	FYN	HES4	AC023590.1	XBP1	CENPF	CMTM8	TSPO	ETS1	MYADM	CLIC3
EBF1	AQP3	FHIT	TXK	RUNX3	LCK	CD3E	GBP5	CLEC2B	IGSF6	IFIT1B	CD34	CTSA	ADIPOR1	KCNH2	RBM47	MALAT1	FCN1	BCL11A	SDF2L1	MCM7	FHIT	LYST	RPS27	ADA	PRSS23
