p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,-1.66451066923335,0.201,0.576,0,0,BACH2
0,-1.67344440177499,0.007,0.235,0,0,TSHZ2
0,-2.26433250425678,0.21,0.609,0,0,LTB
9.92112057545507e-305,0.309495916578407,0.158,0.049,2.39952222237956e-300,0,LAIR2
2.94671517735636e-304,-0.45185508672694,0.994,0.972,7.12692532795408e-300,0,RPLP1
6.56587163246214e-301,-0.428949648293779,0.022,0.192,1.58802171302729e-296,0,AQP3
9.8490955970748e-300,-0.730331848182794,0.012,0.174,2.38210226110851e-295,0,AC139720.1
4.82339820532884e-298,0.418036340592427,0.864,0.75,1.16658708994083e-293,0,EMP3
1.17559386132366e-293,0.421846253609492,0.497,0.292,2.84329131299741e-289,0,LINC01871
1.65053786378724e-293,-0.569573605814131,0.059,0.244,3.99199087735583e-289,0,UBASH3B
1.84150958814057e-289,0.27999871054265,0.147,0.045,4.45387508987679e-285,0,CES1
8.40138832041972e-289,0.35631175989836,0.795,0.633,2.03195977917671e-284,0,ITGB2
2.22319258615534e-287,0.337768849896897,0.926,0.854,5.37701358887531e-283,0,RAP1B
8.03548992839138e-284,-0.615626233069143,0.45,0.601,1.94346359408074e-279,0,AC010197.2
1.22087503800481e-283,0.412265708318094,0.529,0.335,2.95280836691843e-279,0,SSBP3
3.43948691009134e-277,-0.476864525093044,0.013,0.166,8.31874304074691e-273,0,TIAM1
5.75237299565496e-277,0.342437097347941,0.931,0.869,1.39126893272911e-272,0,ARPC2
2.47645651768032e-275,-0.696996042100625,0.172,0.373,5.98955773366161e-271,0,LDLRAD4
2.64593558415274e-275,0.364695149816037,0.268,0.123,6.39945980383181e-271,0,MIAT
3.63269942879566e-275,0.444707932140927,0.37,0.203,8.78604683848519e-271,0,PATL2
1.80176967841191e-274,0.425244998526752,0.827,0.7,4.35776014420704e-270,0,CD2
3.35404989668307e-273,-0.757924560589634,0.874,0.883,8.11210508011767e-269,0,JUNB
4.99947004446011e-273,-0.435264640215971,0.011,0.16,1.20917182495312e-268,0,SCML1
5.94983305768615e-273,0.407363129447106,0.786,0.665,1.43902662333197e-268,0,PTP4A2
3.85840291862755e-271,-0.838020972268864,0.396,0.584,9.3319332989926e-267,0,BCL2
6.27721137865576e-269,0.411890274460543,0.649,0.483,1.51820634404168e-264,0,CD81
2.21883292916219e-264,0.511964297094113,0.624,0.457,5.36646932247167e-260,0,MT2A
8.31261242952416e-264,-0.629305791855603,0.279,0.477,2.01048844220471e-259,0,ITPKB
4.4945044621324e-263,-0.490585574582689,0.011,0.155,1.08704084921134e-258,0,CMTM8
5.67001348880781e-263,0.369375294759053,0.916,0.837,1.37134946240306e-258,0,MYL6
1.4100778623546e-262,-0.758366124813492,0.037,0.2,3.41041431789083e-258,0,TRDC
9.84017643108093e-262,0.387351562285817,0.396,0.22,2.37994507162123e-257,0,GAB3
1.39304416543751e-259,-0.48510605241126,0.049,0.214,3.36921661852716e-255,0,MAN1C1
8.45592276995901e-259,0.368067623359523,0.737,0.564,2.04514948114229e-254,0,ITGAL
3.58958602457715e-257,0.364557862194045,0.868,0.778,8.68177275904229e-253,0,MYL12B
5.8112133441056e-254,0.336993883120738,0.951,0.897,1.40550005940538e-249,0,PPP2R5C
1.85754906052897e-252,0.453153636695333,0.562,0.386,4.49266815779538e-248,0,GGA2
4.77640500058389e-252,0.408784633807139,0.709,0.531,1.15522131344122e-247,0,DNAJC1
7.07416274963723e-251,-0.569189078312885,0.17,0.359,1.71095700262726e-246,0,SELL
3.93253769284201e-250,0.340686012860848,0.295,0.146,9.51123566390769e-246,0,MXRA7
1.69715001018176e-247,0.381700058365299,0.785,0.635,4.1047270146256e-243,0,CLIC1
6.60179251227943e-247,0.39786504566839,0.642,0.454,1.5967095370199e-242,0,HIVEP3
2.07737572015231e-246,-0.343188937689106,0.015,0.156,5.02434091676038e-242,0,AC010260.1
4.19612361646808e-245,-0.553552924981551,0.279,0.471,1.01487445787897e-240,0,CD55
4.49024292781776e-245,-0.558397417188288,0.23,0.414,1.086010154522e-240,0,NOSIP
1.18135615228934e-244,0.343470673004983,0.325,0.169,2.857227989927e-240,0,HLA-DRB1
1.65448025661119e-244,-0.410640703074675,0.096,0.273,4.00152594863983e-240,0,CD27
2.1334792321506e-243,-0.519319576111035,0.03,0.178,5.16003287087945e-239,0,SAMD12
6.65963642580521e-239,-0.42788144633788,0.12,0.301,1.61069966594525e-234,0,DGKA
6.99267718036567e-239,-0.574928283590422,0.337,0.526,1.69124890284324e-234,0,HIVEP2
1.13488957908e-238,0.275915484268286,0.983,0.959,2.7448439359629e-234,0,HLA-E
1.63914751785733e-237,-0.434241813983188,0.012,0.147,3.96444218668975e-233,0,AC233976.1
2.30459883323236e-237,0.404470883244876,0.456,0.278,5.57390273805578e-233,0,PZP
