"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"89",0,2.05571288761202,0.576,0.039,0,"Monocytes","NCF2"
"90",0,2.04650611996583,0.58,0.063,0,"Monocytes","CFD"
"91",0,2.04437023351281,0.791,0.398,0,"Monocytes","NEAT1"
"92",0,2.02333714741085,0.738,0.116,0,"Monocytes","FCER1G"
"93",0,2.015846878839,0.559,0.09,0,"Monocytes","STXBP2"
"94",0,1.99961824599154,0.594,0.079,0,"Monocytes","LRMDA"
"95",0,1.99414646497999,0.559,0.043,0,"Monocytes","CYBB"
"96",0,1.9739836260422,0.53,0.028,0,"Monocytes","CSTA"
"97",0,1.9561630262658,0.507,0.041,0,"Monocytes","SLC8A1"
"98",0,1.95515348292882,0.733,0.282,0,"Monocytes","BRI3"
"99",0,1.92967354341492,0.853,0.341,0,"Monocytes","FOS"
"100",0,1.91236810218908,0.436,0.016,0,"Monocytes","PLBD1"
"101",0,5.68110887620293,0.792,0.022,0,"Pro Monocytes","MPO"
"102",0,5.00919815702126,0.742,0.011,0,"Pro Monocytes","AZU1"
"103",0,4.82053310434891,0.524,0.003,0,"Pro Monocytes","ELANE"
"104",0,4.48034947145428,0.479,0.006,0,"Pro Monocytes","PRTN3"
"105",0,3.21423487227335,0.882,0.138,0,"Pro Monocytes","LYZ"
"106",0,2.92839517810768,0.53,0.016,0,"Pro Monocytes","CTSG"
"107",0,2.64774636163056,0.504,0.046,0,"Pro Monocytes","RETN"
"108",0,2.56645764259607,0.913,0.602,0,"Pro Monocytes","SRGN"
"109",0,2.30195006571937,0.728,0.118,0,"Pro Monocytes","LRMDA"
"110",0,2.04091354315333,0.417,0.074,0,"Pro Monocytes","PRSS57"
"111",0,1.98281715860794,0.67,0.126,0,"Pro Monocytes","S100A8"
"112",0,1.94560759040311,0.398,0.072,0,"Pro Monocytes","CLEC11A"
"113",0,1.94002926278432,0.479,0.077,0,"Pro Monocytes","AC020916.1"
"114",0,1.88386267727846,0.541,0.077,0,"Pro Monocytes","ATP8B4"
"115",0,1.88229367992166,0.579,0.154,0,"Pro Monocytes","FOSB"
"116",0,1.83155986145167,0.646,0.178,0,"Pro Monocytes","FNDC3B"
"117",0,1.8180783456072,0.69,0.389,0,"Pro Monocytes","LGALS1"
"118",0,1.80546958279997,0.619,0.213,0,"Pro Monocytes","PDE4D"
"119",0,1.75475213330502,0.74,0.178,0,"Pro Monocytes","CEBPD"
"120",0,1.73605901653848,0.482,0.031,0,"Pro Monocytes","RNASE2"
"121",0,1.72907186120839,0.822,0.383,0,"Pro Monocytes","FOS"
"122",0,1.64922159581727,0.575,0.168,0,"Pro Monocytes","RAB11FIP1"
"123",0,1.56130390949886,0.606,0.2,0,"Pro Monocytes","C20orf27"
"124",0,1.54654516515882,0.688,0.141,0,"Pro Monocytes","S100A9"
"125",0,1.50977934440701,0.719,0.415,0,"Pro Monocytes","P4HB"
"126",0,1.50952698222191,0.461,0.117,0,"Pro Monocytes","RRP12"
"127",0,1.49740885877696,0.526,0.123,0,"Pro Monocytes","CITED4"
"128",0,1.46040074384574,0.521,0.106,0,"Pro Monocytes","CFD"
"129",0,1.45758217300761,0.612,0.231,0,"Pro Monocytes","GRN"
"130",0,1.44805564253348,0.863,0.542,0,"Pro Monocytes","GSTP1"
"131",0,1.43576443213568,0.309,0.032,0,"Pro Monocytes","EREG"
"132",0,1.43458676994507,0.64,0.185,0,"Pro Monocytes","SYK"
"133",0,1.42762270037616,0.802,0.517,0,"Pro Monocytes","TSPO"
"134",0,1.41624811138468,0.625,0.244,0,"Pro Monocytes","LYST"
"135",0,1.40928910955483,0.798,0.485,0,"Pro Monocytes","MTDH"
"136",0,1.40896642170167,0.425,0.08,0,"Pro Monocytes","RBM47"
"137",0,1.39025806744025,0.493,0.083,0,"Pro Monocytes","RAB32"
"138",0,1.38968584175561,0.675,0.354,0,"Pro Monocytes","SERPINB1"
"139",0,1.38862714253816,0.838,0.562,0,"Pro Monocytes","ENO1"
"140",0,1.34110986607298,0.454,0.185,0,"Pro Monocytes","RNASEH2C"
"141",0,1.33229484328062,0.491,0.105,0,"Pro Monocytes","CSF3R"
"142",0,1.32484352055715,0.813,0.543,0,"Pro Monocytes","HMGN2"
"143",0,1.29105025625675,0.314,0.035,0,"Pro Monocytes","AC020656.1"
"144",0,1.27469453217162,0.513,0.137,0,"Pro Monocytes","CTSD"
"145",0,1.2587427575784,0.586,0.24,0,"Pro Monocytes","GNAQ"
"146",0,1.25320952150718,0.774,0.477,0,"Pro Monocytes","PKM"
"147",0,1.25218045576474,0.498,0.093,0,"Pro Monocytes","MNDA"
"148",0,1.23313879499804,0.768,0.492,0,"Pro Monocytes","VAMP8"
"149",0,1.21673881494542,0.471,0.167,0,"Pro Monocytes","WDFY2"
"150",0,1.21448962580332,0.513,0.178,0,"Pro Monocytes","DIAPH2"
"151",0,4.31774976548918,0.894,0.076,0,"Mid Erythroids","CA1"
"152",0,3.93322492879301,0.716,0.07,0,"Mid Erythroids","HBM"
"153",0,3.76291126472455,0.788,0.058,0,"Mid Erythroids","CA2"
"154",0,3.68255674697391,0.938,0.422,0,"Mid Erythroids","PRDX2"
"155",0,3.61892820973159,0.904,0.073,0,"Mid Erythroids","AHSP"
"156",0,3.00217267221982,0.911,0.219,0,"Mid Erythroids","BLVRB"
"157",0,2.89162045212182,0.784,0.411,0,"Mid Erythroids","H4C3"
"158",0,2.75163568192133,0.91,0.082,0,"Mid Erythroids","HBD"
"159",0,2.74813536003187,0.602,0.067,0,"Mid Erythroids","SLC4A1"
"160",0,2.65185853177627,0.935,0.464,0,"Mid Erythroids","TUBA1B"
"161",0,2.59615447569343,0.773,0.061,0,"Mid Erythroids","ANK1"
"162",0,2.59086722303743,0.82,0.181,0,"Mid Erythroids","UROD"
"163",0,2.58673428777715,0.728,0.077,0,"Mid Erythroids","H1-5"
"164",0,2.52426991410371,0.772,0.098,0,"Mid Erythroids","HMBS"
"165",0,2.49015835971715,0.782,0.052,0,"Mid Erythroids","KLF1"
"166",0,2.46515645842245,0.617,0.063,0,"Mid Erythroids","HEMGN"
"167",0,2.43075064746443,0.913,0.426,0,"Mid Erythroids","TUBB"
"168",0,2.32040596280383,0.869,0.352,0,"Mid Erythroids","HMGB2"
"169",0,2.27562708533745,0.825,0.084,0,"Mid Erythroids","HBA1"
"170",0,2.27545477183627,0.691,0.03,0,"Mid Erythroids","RHAG"
"171",0,2.27114403849387,0.61,0.057,0,"Mid Erythroids","GYPB"
"172",0,2.22408265780223,0.725,0.11,0,"Mid Erythroids","H1-0"
"173",0,2.17609596002209,0.637,0.027,0,"Mid Erythroids","SPTB"
"174",0,2.13609527637596,0.734,0.153,0,"Mid Erythroids","NME4"
"175",0,2.11005616759185,0.775,0.083,0,"Mid Erythroids","HBA2"
"176",0,2.1072304543433,0.667,0.043,0,"Mid Erythroids","CENPF"
"177",0,2.10563160715977,0.727,0.109,0,"Mid Erythroids","TFRC"
