,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene,
111,0,0.328109085,0.384,0.195,0,0,SERINC5,
112,0,0.327100267,0.988,0.912,0,0,RPL27,
113,0,0.32606973,0.348,0.197,0,0,IMPDH2,
114,0,0.324833129,0.45,0.284,0,0,PPA1,
115,0,0.321699479,0.775,0.589,0,0,EIF3H,
247,1.41E-205,0.320884284,0.439,0.322,5.29E-201,0,AL138963.4,
116,0,0.320036568,0.342,0.192,0,0,STMN3,
117,0,0.319224292,1,0.972,0,0,RPL7A,
118,0,0.319002371,0.698,0.504,0,0,GPX4,
119,0,0.318032684,0.404,0.234,0,0,DGKA,
120,0,0.317022931,0.502,0.334,0,0,HSPB1,
121,0,0.316429961,0.927,0.778,0,0,COX7C,
122,0,0.316384835,0.304,0.17,0,0,FLT3LG,
123,0,0.314825366,1,0.979,0,0,RPS27,
124,0,0.312514362,0.501,0.344,0,0,PIM1,
125,0,0.311410882,0.975,0.867,0,0,BTF3,
126,0,0.306699284,0.422,0.278,0,0,TRADD,
127,0,0.306194421,0.974,0.872,0,0,RPL31,
128,0,0.30339175,0.703,0.517,0,0,ZFAS1,
129,0,0.302577849,0.418,0.269,0,0,PIM2,
325,2.84E-39,-0.301471763,0.432,0.435,1.07E-34,0,P2RY8,
330,2.20E-08,-0.301950167,0.404,0.383,0.000825297,0,THEMIS,
130,0,-0.303351749,0.959,0.921,0,0,CALM1,
301,6.18E-89,-0.30405234,0.52,0.526,2.32E-84,0,CAP1,
309,5.62E-80,-0.304319882,0.307,0.346,2.11E-75,0,POMP,
324,7.17E-41,-0.305777637,0.368,0.382,2.69E-36,0,SAT1,
131,0,-0.306874244,0.979,0.956,0,0,HLA-E,
328,9.17E-24,-0.309062807,0.297,0.307,3.44E-19,0,ARID1B,
244,8.14E-220,-0.311323316,0.997,0.995,3.06E-215,0,MT-RNR1,
321,2.28E-48,-0.319500599,0.31,0.335,8.57E-44,0,BIRC6,
312,3.45E-68,-0.320044297,0.295,0.331,1.30E-63,0,DYNC1H1,
234,1.53E-246,-0.325038273,0.928,0.877,5.74E-242,0,IL32,
308,3.67E-80,-0.326372095,0.345,0.377,1.38E-75,0,OSTF1,
311,1.09E-70,-0.327958327,0.409,0.432,4.10E-66,0,TCF25,
132,0,-0.330226205,0.95,0.92,0,0,UBC,
316,8.62E-60,-0.330867751,0.3,0.331,3.24E-55,0,TAOK3,
317,1.14E-57,-0.330993508,0.594,0.582,4.30E-53,0,ANKRD44,
320,4.85E-50,-0.332823619,0.417,0.435,1.82E-45,0,RORA,
290,1.12E-109,-0.334745836,0.606,0.602,4.21E-105,0,SRSF7,
133,0,-0.334934595,0.935,0.892,0,0,MYL6,
326,2.10E-34,-0.337598929,0.349,0.362,7.90E-30,0,KLF12,
298,1.14E-95,-0.337735753,0.361,0.398,4.30E-91,0,RASAL3,
297,2.44E-96,-0.338131991,0.389,0.421,9.16E-92,0,TERF2IP,
307,1.94E-80,-0.340502769,0.423,0.446,7.30E-76,0,SH3KBP1,
