celltype,cohort,id,freq
CD8 Terminally Exhausted,relapse cohort,P05.1Rem,0.06007708
CD8 Terminally Exhausted,relapse cohort,P06.1Rem,0.166189112
CD8 Terminally Exhausted,relapse cohort,P07.1Rem,0.022648835
CD8 Terminally Exhausted,relapse cohort,P07.1RemT,0.046932591
CD8 Terminally Exhausted,relapse cohort,P08.1Rem,0.144444444
CD8 Terminally Exhausted,relapse cohort,P08.1RemT,0.147426287
NK T cells,Remission cohort,P01.1Rem,0.042096902
NK T cells,Remission cohort,P01.1RemT,0.020491803
NK T cells,Remission cohort,P01.2Rem,0.060240964
NK T cells,Remission cohort,P02.1Rem,0.059581882
NK T cells,Remission cohort,P03.1Rem,0.048365123
NK T cells,Remission cohort,P03.1RemT,0.017301038
NK T cells,relapse cohort,P05.1Rem,0.048515076
NK T cells,relapse cohort,P06.1Rem,0.034383954
NK T cells,relapse cohort,P07.1Rem,0.099870578
NK T cells,relapse cohort,P07.1RemT,0.068965517
NK T cells,relapse cohort,P08.1Rem,0.033333333
NK T cells,relapse cohort,P08.1RemT,0.015992004
Treg,Remission cohort,P01.1Rem,0.0675139
Treg,Remission cohort,P01.1RemT,0.299765808
Treg,Remission cohort,P01.2Rem,0.060240964
Treg,Remission cohort,P02.1Rem,0.014982578
Treg,Remission cohort,P03.1Rem,0.057220708
Treg,Remission cohort,P03.1RemT,0.103806228
Treg,relapse cohort,P05.1Rem,0.012242122
Treg,relapse cohort,P06.1Rem,0.106017192
Treg,relapse cohort,P07.1Rem,0.034296808
Treg,relapse cohort,P07.1RemT,0.049963142
Treg,relapse cohort,P08.1Rem,0.030555556
Treg,relapse cohort,P08.1RemT,0.021655839
γδ T lymphocytes,Remission cohort,P01.1Rem,0.009531374
γδ T lymphocytes,Remission cohort,P01.1RemT,0.045667447
γδ T lymphocytes,Remission cohort,P01.2Rem,0.023001095
γδ T lymphocytes,Remission cohort,P02.1Rem,0.006620209
γδ T lymphocytes,Remission cohort,P03.1Rem,0.060967302
γδ T lymphocytes,Remission cohort,P03.1RemT,0.067721206
γδ T lymphocytes,relapse cohort,P05.1Rem,0.107005214
γδ T lymphocytes,relapse cohort,P06.1Rem,0.008595989
γδ T lymphocytes,relapse cohort,P07.1Rem,0.042493529
γδ T lymphocytes,relapse cohort,P07.1RemT,0.049225981
γδ T lymphocytes,relapse cohort,P08.1Rem,0.027777778
γδ T lymphocytes,relapse cohort,P08.1RemT,0.011494253
