,p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
116,0,0.715581733,0.783,0.493,0,0,GSTK1
117,0,0.71534288,0.728,0.472,0,0,RPL36A
118,0,0.715145038,0.81,0.453,0,0,FYB1
119,0,0.715065204,0.998,0.905,0,0,FAU
120,0,0.711711766,0.31,0.08,0,0,TRAT1
121,0,0.711093176,0.948,0.725,0,0,RPL26
122,0,0.707480599,0.899,0.633,0,0,COX7C
123,0,0.699663694,0.31,0.114,0,0,SOCS3
124,0,0.69879649,0.604,0.308,0,0,TMEM123
125,0,0.697794406,0.868,0.602,0,0,RPS20
126,0,0.69409581,0.547,0.29,0,0,SNHG8
127,0,0.690784902,0.623,0.32,0,0,GIMAP7
128,0,0.686111901,0.957,0.733,0,0,RPL31
129,0,0.685114996,0.452,0.188,0,0,MGAT4A
130,0,0.676521136,0.742,0.333,0,0,CD7
131,0,0.672190387,0.305,0.087,0,0,SUSD3
132,0,0.670702165,0.999,0.907,0,0,RPL8
133,0,0.666107593,0.378,0.291,0,0,RPS4Y1
134,0,0.665609169,0.927,0.622,0,0,NPM1
135,0,0.662950927,0.584,0.341,0,0,RGS10
136,0,0.661681106,0.412,0.202,0,0,CORO1B
137,0,0.658058416,0.993,0.84,0,0,RPL13A
138,0,0.657976507,1,0.944,0,0,RPLP1
139,0,0.657557716,0.38,0.115,0,0,PRKCA
140,0,0.657287625,0.436,0.164,0,0,ITK
141,0,0.65554211,0.999,0.9,0,0,RPS2
142,0,0.655078543,0.95,0.651,0,0,BTG1
143,0,0.652208077,0.807,0.458,0,0,EVL
144,0,0.649893531,0.474,0.193,0,0,MAML2
145,0,0.649612057,0.332,0.116,0,0,IL6ST
146,0,0.646917668,0.462,0.22,0,0,CYLD
147,0,0.642537978,0.609,0.308,0,0,SEPTIN1
148,0,0.639233016,0.975,0.783,0,0,RPL27
149,0,0.638298678,0.658,0.357,0,0,TRAF3IP3
150,0,0.637467148,0.316,0.111,0,0,GPR183
151,0,0.631038079,0.986,0.806,0,0,RPL37A
152,0,0.628354693,0.703,0.325,0,0,LCK
153,0,0.626383209,0.338,0.114,0,0,CD4
154,0,0.618974936,0.92,0.654,0,0,HINT1
155,0,0.617605411,0.31,0.107,0,0,STMN3
156,0,0.613333467,0.995,0.879,0,0,RPS9
157,0,0.61126526,0.372,0.148,0,0,PCED1B
158,0,0.606400459,0.97,0.604,0,0,CD52
159,0,0.599933453,0.558,0.329,0,0,NSA2
160,0,0.598896639,0.305,0.113,0,0,THEM4
161,0,0.598526337,0.999,0.905,0,0,RPS19
162,0,0.595836171,0.496,0.219,0,0,FCMR
163,0,0.593940773,0.85,0.586,0,0,COMMD6
164,0,0.584818861,0.742,0.479,0,0,SNHG6
165,0,0.584606728,0.79,0.516,0,0,ARHGAP15
166,0,0.58411203,0.532,0.285,0,0,MCUB
167,0,0.580782375,0.656,0.414,0,0,RPL17
168,0,0.57487208,0.321,0.126,0,0,ITPKB
169,0,0.574831424,0.453,0.247,0,0,CDKN1B
170,0,0.564102364,0.578,0.316,0,0,ACAP1
